max_throttle,min_throttle,throttle_ramp_rate,safety_margin,rollout_distance,pursuit_lookahead,pursuit_blend,progress_weight,clearance_weight,smoothness_weight,steering_penalty_weight,gap_alignment_weight,turn_commitment_weight,max_steering_delta,temporal_blend,disparity_threshold,max_jump_distance,history_penalty_radius,history_penalty_weight,gap_threshold_scale,max_gap_threshold,turn_prediction_gain,forward_critical_distance,forward_warning_distance,forward_caution_distance,laps_completed,runtime,avg_lap_time,lap_consistency,collisions,collisions_per_lap,success,endurance_score
0.25,0.03,0.02,0.12000000000000001,3.5,1.8,0.30000000000000004,3.0,1.0,-0.5,-0.9000000000000001,1.5,2.0,0.06,0.1,0.4,0.8,2.0,6.0,0.45,2.5,0.1,0.4,0.6,2.0,0,75.92570209503174,999.0,999.0,50,50.0,0,-8492.5
0.2,0.03,0.02,0.1,3.5,1.5,0.7000000000000002,6.0,4.0,-0.5,-0.5000000000000001,2.0,2.0,0.06,0.2,0.25,1.5,1.5,2.0,0.35,2.5,0.25,0.7,0.6,1.0,2,61.78742170333862,30.89371085166931,999.0,50,25.0,0,-6042.234277129173
0.30000000000000004,0.05,0.015,0.16000000000000003,1.5,1.2,0.8000000000000003,5.0,2.0,-2.0,-0.7000000000000001,1.0,7.0,0.12,0.2,0.25,1.2,1.2,4.0,0.35,3.0,0.5,0.4,0.6,1.0,7,72.76319527626038,10.394742182322911,0.5563230138383821,50,7.142857142857143,0,-923.7684705249992
0.15,0.07,0.015,0.2,3.0,2.4000000000000004,0.8000000000000003,2.0,4.0,-2.5,-0.9000000000000001,2.0,1.0,0.1,0.15,1.0,2.0,1.0,2.0,0.25,2.0,0.5,0.4,0.8,1.5,7,119.98015332221985,17.140021903174265,0.9856921826650036,50,7.142857142857143,0,-942.7785156712607
0.3500000000000001,0.03,0.03,0.12000000000000001,2.0,1.5,0.7000000000000002,2.0,5.0,-1.0,-0.5000000000000001,1.0,7.0,0.1,0.15,0.25,1.2,0.8,6.0,0.45,3.0,0.35,0.7,0.8,1.5,12,103.71984195709229,8.643320163091024,0.8084210865833387,50,4.166666666666667,0,-845.6504058406443
0.45000000000000007,0.07,0.015,0.2,3.0,1.5,0.2,1.0,5.0,-0.5,-0.9000000000000001,2.5,4.0,0.06,0.2,1.0,1.5,1.5,2.0,0.35,2.5,0.1,0.4,0.6,1.0,10,87.98624753952026,8.798624753952026,0.8063228329936855,50,5.0,0,-876.0281760498485
0.3500000000000001,0.07,0.02,0.08,2.5,1.2,0.8000000000000003,3.0,4.0,-2.0,-0.9000000000000001,1.5,5.0,0.06,0.2,0.5,0.8,0.8,2.0,0.25,2.5,0.35,0.3,1.0,1.0,8,79.13048148155212,9.891310185194016,0.4084781025147474,50,6.25,0,-906.7706659755588
0.2,0.07,0.02,0.22000000000000003,3.5,1.2,0.4000000000000001,2.0,5.0,-2.0,-0.9000000000000001,2.0,3.0,0.08,0.3,0.25,2.0,1.2,6.0,0.45,1.5,0.1,0.4,0.8,1.2,0,36.738436460494995,999.0,999.0,50,50.0,0,-8492.5
0.45000000000000007,0.05,0.03,0.2,3.5,2.1,0.5000000000000001,6.0,5.0,-1.5,-0.9000000000000001,1.0,1.0,0.04,0.1,1.0,1.2,1.0,1.0,0.25,2.5,0.35,0.4,0.8,2.0,0,30.119713068008423,999.0,999.0,50,50.0,0,-8492.5
0.3500000000000001,0.07,0.01,0.12000000000000001,2.5,2.4000000000000004,0.30000000000000004,5.0,4.0,-1.5,-0.1,2.0,1.0,0.08,0.05,1.0,2.0,1.0,8.0,0.6,2.5,0.25,0.4,0.8,1.5,15,108.24378848075867,7.216252565383911,0.2273842386552184,42,2.8,1,-634.1775526067358
0.40000000000000013,0.03,0.005,0.18000000000000002,1.5,1.2,0.2,5.0,1.0,-1.5,-0.30000000000000004,2.0,2.0,0.1,0.2,0.25,0.8,1.2,2.0,0.25,3.0,0.2,0.3,1.0,1.5,13,133.64230704307556,10.280177464851967,0.6925276051112516,51,3.923076923076923,0,-854.1630816876861
0.2,0.07,0.01,0.2,1.5,2.1,0.8000000000000003,4.0,4.0,-2.0,-0.1,1.5,3.0,0.06,0.3,0.4,2.0,1.2,2.0,0.25,1.5,0.35,0.4,1.3,1.5,13,135.02856254577637,10.38681250352126,0.09616729980179109,12,0.9230769230769231,0,-71.4478677578121
0.25,0.07,0.005,0.16000000000000003,2.0,1.5,0.5000000000000001,4.0,2.0,-1.5,-0.1,2.0,5.0,0.08,0.2,0.25,1.2,1.2,1.0,0.6,2.0,0.2,0.4,1.0,1.2,15,133.22814893722534,8.881876595815022,0.3344331700939152,24,1.6,1,-278.8768573400071
0.30000000000000004,0.05,0.015,0.16000000000000003,1.5,1.8,0.4000000000000001,1.0,4.0,-0.5,-0.30000000000000004,2.0,7.0,0.1,0.1,1.0,1.5,1.0,6.0,0.35,2.0,0.1,0.3,0.8,1.5,11,109.69067573547363,9.971879612315785,1.030856312772536,50,4.545454545454546,0,-865.0839805946522
